,U_DPTO,U_MPIO,DomesticViolenceCases,Population,Municipio,Departamento,CasesPer1000Habitants
258,15,511,53,2261.0,Pachavita,Boyaca,23.440955329500223
259,15,514,49,2925.0,Paez,Boyaca,16.752136752136753
260,15,516,360,31097.0,Paipa,Boyaca,11.576679422452326
261,15,518,92,1930.0,Pajarito,Boyaca,47.66839378238342
262,15,522,26,1619.0,Panqueba,Boyaca,16.05929586164299
263,15,531,129,6355.0,Pauna,Boyaca,20.29897718332022
264,15,533,58,2061.0,Paya,Boyaca,28.14167879670063
265,15,537,44,4040.0,Paz del rio,Boyaca,10.89108910891089
266,15,542,56,6604.0,Pesca,Boyaca,8.479709267110842
267,15,550,3,1582.0,Pisba,Boyaca,1.8963337547408343
268,15,572,905,44076.0,Puerto boyaca,Boyaca,20.532716217442598
269,15,580,50,4194.0,Quipama,Boyaca,11.921793037672867
270,15,599,378,8690.0,Ramiriqui,Boyaca,43.49827387802072
271,15,600,104,7302.0,Raquira,Boyaca,14.24267324020816
272,15,621,19,2212.0,Rondon,Boyaca,8.589511754068717
273,15,632,172,11161.0,Saboya,Boyaca,15.410805483379626
274,15,638,134,4823.0,Sachica,Boyaca,27.783537217499482
275,15,646,351,17485.0,Samaca,Boyaca,20.074349442379184
276,15,660,37,1558.0,San eduardo,Boyaca,23.74839537869063
277,15,664,132,4658.0,San jose de pare,Boyaca,28.338342636324604
278,15,667,40,4534.0,San luis de gaceno,Boyaca,8.82223202470225
279,15,673,29,3307.0,San mateo,Boyaca,8.769277290595706
280,15,676,28,2901.0,San miguel de sema,Boyaca,9.651844191658048
281,15,681,89,5827.0,San pablo de borbur,Boyaca,15.273725759395916
282,15,686,211,6811.0,Santana,Boyaca,30.979298194097783
283,15,690,42,3093.0,Santa maria,Boyaca,13.579049466537343
284,15,693,161,10849.0,Santa rosa de viterbo,Boyaca,14.840077426490922
285,15,696,112,2924.0,Santa sofia,Boyaca,38.303693570451436
286,15,720,20,1947.0,Sativanorte,Boyaca,10.27221366204417
287,15,723,10,1044.0,Sativasur,Boyaca,9.578544061302681
288,15,740,141,6649.0,Siachoque,Boyaca,21.206196420514363
289,15,753,132,8456.0,Soata,Boyaca,15.610217596972564
290,15,755,40,7122.0,Socota,Boyaca,5.616399887672002
291,15,757,76,7497.0,Socha,Boyaca,10.137388288648793
292,15,759,3237,119503.0,Sogamoso,Boyaca,27.08718609574655
293,15,761,20,2364.0,Somondoco,Boyaca,8.460236886632826
294,15,762,59,2586.0,Sora,Boyaca,22.815158546017013
295,15,763,98,7953.0,Sotaquira,Boyaca,12.322394065132654
296,15,764,143,5858.0,Soraca,Boyaca,24.411061795834758
297,15,774,21,2555.0,Susacon,Boyaca,8.21917808219178
298,15,776,89,5755.0,Sutamarchan,Boyaca,15.464813205907905
299,15,778,34,3481.0,Sutatenza,Boyaca,9.767308244757253
300,15,790,53,5140.0,Tasco,Boyaca,10.311284046692608
301,15,798,21,3426.0,Tenza,Boyaca,6.129597197898424
302,15,804,132,7945.0,Tibana,Boyaca,16.614222781623663
303,15,806,303,11019.0,Tibasosa,Boyaca,27.497958072420364
304,15,808,93,2869.0,Tinjaca,Boyaca,32.41547577553154
305,15,810,21,3154.0,Tipacoque,Boyaca,6.658211794546607
306,15,814,106,8707.0,Toca,Boyaca,12.174112782818423
307,15,816,122,4224.0,Togui,Boyaca,28.882575757575758
308,15,820,34,3531.0,Topaga,Boyaca,9.629000283205892
309,15,822,36,4530.0,Tota,Boyaca,7.947019867549669
310,15,832,24,1526.0,Tunungua,Boyaca,15.727391874180864
311,15,835,135,5835.0,Turmeque,Boyaca,23.13624678663239
312,15,837,133,8143.0,Tuta,Boyaca,16.33304678865283
313,15,839,23,1794.0,Tutasa,Boyaca,12.82051282051282
314,15,842,58,6905.0,Umbita,Boyaca,8.399710354815351
315,15,861,278,13974.0,Ventaquemada,Boyaca,19.894089022470304
316,15,879,106,2582.0,Viracacha,Boyaca,41.05344694035632
317,15,897,95,4272.0,Zetaquira,Boyaca,22.237827715355802
318,17,1,4179,395818.0,Manizales,Caldas,10.557882663244218
319,17,13,174,20525.0,Aguadas,Caldas,8.477466504263095
320,17,42,361,31438.0,Anserma,Caldas,11.482918760735416
321,17,50,97,9854.0,Aranzazu,Caldas,9.843718286990054
322,17,88,60,9661.0,Belalcazar,Caldas,6.210537211468792
323,17,174,966,48298.0,Chinchina,Caldas,20.000828191643546
324,17,272,36,9613.0,Filadelfia,Caldas,3.744928742328097
325,17,380,1409,69086.0,La dorada,Caldas,20.394870161827285
326,17,388,44,5324.0,La merced,Caldas,8.264462809917356
327,17,433,173,16502.0,Manzanares,Caldas,10.48357774815174
328,17,442,65,8485.0,Marmato,Caldas,7.660577489687684
329,17,444,52,12079.0,Marquetalia,Caldas,4.304992135110522
330,17,446,11,2081.0,Marulanda,Caldas,5.285920230658338
331,17,486,136,20355.0,Neira,Caldas,6.681405060181773
332,17,495,56,5946.0,Norcasia,Caldas,9.418096199125461
333,17,513,65,13074.0,Pacora,Caldas,4.971699556371425
334,17,524,192,13490.0,Palestina,Caldas,14.232765011119348
335,17,541,123,17107.0,Pensilvania,Caldas,7.19003916525399
336,17,614,453,48012.0,Riosucio,Caldas,9.435141214696326
337,17,616,92,9840.0,Risaralda,Caldas,9.34959349593496
338,17,653,144,16441.0,Salamina,Caldas,8.758591326561646
339,17,662,116,17424.0,Samana,Caldas,6.657483930211203
340,17,665,55,4516.0,San jose,Caldas,12.178919397697076
341,17,777,184,26571.0,Supia,Caldas,6.9248428738097925
342,17,867,63,8148.0,Victoria,Caldas,7.731958762886598
343,17,873,448,62671.0,Villamaria,Caldas,7.1484418630626605
344,17,877,101,12425.0,Viterbo,Caldas,8.12877263581489
345,18,1,4193,152474.0,Florencia,Caqueta,27.49977045266734
346,18,29,33,4363.0,Albania,Caqueta,7.5636030254412105
347,18,94,86,8729.0,Belen de los andaquies,Caqueta,9.852216748768473
348,18,150,195,27267.0,Cartagena del chaira,Caqueta,7.15150181538123
349,18,205,83,7379.0,Curillo,Caqueta,11.248136603875864
350,18,247,115,17572.0,El doncello,Caqueta,6.544502617801047
351,18,256,92,12822.0,El paujil,Caqueta,7.175167680549056
352,18,410,66,11524.0,La montañita,Caqueta,5.727178063172509
353,18,460,29,6980.0,Milan,Caqueta,4.154727793696275
354,18,479,27,3350.0,Morelia,Caqueta,8.059701492537314
355,18,592,211,23616.0,Puerto rico,Caqueta,8.934620596205962
356,18,610,85,10965.0,San jose de fragua,Caqueta,7.751937984496124
357,18,753,488,40794.0,San  vicente del caguan,Caqueta,11.962543511300682
358,18,756,61,9587.0,Solano,Caqueta,6.362782935224784
